TRIAL,ARRAY_SIZE,TIME
433,4340,1727
434,4350,1513
435,4360,1537
436,4370,1532
437,4380,1564
438,4390,1533
439,4400,1521
440,4410,1543
441,4420,1547
442,4430,1531
443,4440,1551
444,4450,1526
445,4460,1530
446,4470,1520
447,4480,1542
448,4490,1531
449,4500,1496
450,4510,1539
451,4520,1543
452,4530,1519
453,4540,1546
454,4550,1527
455,4560,1553
456,4570,1535
457,4580,1543
458,4590,1487
459,4600,1537
460,4610,1521
461,4620,1503
462,4630,1576
463,4640,1535
464,4650,1577
465,4660,1551
466,4670,1583
467,4680,1611
468,4690,1568
469,4700,1569
470,4710,1611
471,4720,1584
472,4730,1557
473,4740,1595
474,4750,1658
475,4760,1591
476,4770,1630
477,4780,1609
478,4790,1620
479,4800,1604
480,4810,1635
481,4820,1612
482,4830,1624
483,4840,1590
484,4850,1613
485,4860,1627
486,4870,1616
487,4880,1622
488,4890,1680
489,4900,1654
490,4910,1763
491,4920,1659
492,4930,1663
493,4940,1685
494,4950,1638
495,4960,1676
496,4970,1610
497,4980,1584
498,4990,1639
499,5000,1582
500,5010,1655
501,5020,1568
502,5030,1634
503,5040,1624
504,5050,1626
505,5060,1660
506,5070,1607
507,5080,1660
508,5090,1603
509,5100,1613
510,5110,1638
511,5120,1633
512,5130,1649
513,5140,1657
514,5150,1623
515,5160,1661
516,5170,1635
517,5180,1725
518,5190,1638
519,5200,1646
520,5210,1695
521,5220,1663
522,5230,1656
523,5240,1685
524,5250,1666
525,5260,1674
526,5270,1691
527,5280,1667
528,5290,1715
529,5300,1648
530,5310,1678
531,5320,1678
532,5330,1694
533,5340,1655
534,5350,1698
535,5360,1706
536,5370,1699
537,5380,1682
538,5390,1693
539,5400,1722
540,5410,1709
541,5420,1693
542,5430,1693
543,5440,1708
544,5450,1731
545,5460,1670
546,5470,1722
547,5480,1707
548,5490,1696
549,5500,1735
550,5510,1700
551,5520,1705
552,5530,1715
553,5540,1712
554,5550,1752
555,5560,1708
556,5570,1710
557,5580,1712
558,5590,1723
